FIRE_NAME,FIRE_SIZE,STATE,FIRE_YEAR,STAT_CAUSE_DESCR
GOAT WFU,25907.0,ID,2007,Lightning
COTTONWOOD WFU,14637.0,ID,2007,Lightning
TAG WFU,47187.0,ID,2007,Lightning
BIG SNAG,575.0,FL,2007,Campfire
LITTLE CHOPAKA,1200.0,WA,2007,Miscellaneous
0607,589.0,OR,2007,Miscellaneous
POE CABIN,58520.0,ID,2007,Lightning
BATTLE CREEK,79149.0,OR,2007,Lightning
GRIZZLY RIDGE,6474.0,OR,2007,Lightning
MADISON ARM,3660.0,MT,2007,Miscellaneous
FLETCHER,8121.0,CA,2007,Lightning
SAN ANTONIO,1543.0,AZ,2007,Campfire
GRANITE CREEK,1742.0,WY,2007,Lightning
HICKS PARK,2500.0,MT,2007,Lightning
TROUT CREEK,1386.0,OR,2007,Lightning
BEAR WFU,3621.0,ID,2007,Lightning
SADDLE GULCH,3975.0,OR,2007,Lightning
LUCKY,1582.0,ID,2007,Lightning
LIGHTNING,6994.0,ID,2007,Lightning
CHIEF PARISH,3898.0,ID,2007,Miscellaneous
WICKED CREEK,26600.0,MT,2007,Lightning
BEAR,562.0,CA,2007,Equipment Use
WINGATE,916.0,CA,2007,Lightning
NORTH FORK,48143.0,ID,2007,Lightning
PIONEER,1167.0,WI,2007,Miscellaneous
ROMBO,29062.0,MT,2007,Lightning
COLUMBINE,18595.0,WY,2007,Lightning
JIM CANYON,4358.0,UT,2007,Lightning
DEADEYE,700.0,ID,2007,Lightning
MONUMENTAL,174231.0,ID,2007,Lightning
DOVE,506.9,UT,2007,Lightning
SANDY,18306.0,ID,2007,Lightning
RIORDON,54079.0,ID,2007,Lightning
YELLOW,7603.0,ID,2007,Lightning
FITTING,948.0,ID,2007,Lightning
DRAKE,8401.0,ID,2007,Lightning
PROFILE,4556.0,ID,2007,Lightning
CHAIN,1728.0,ID,2007,Lightning
LIZARD,6547.0,ID,2007,Lightning
ZACA,240207.0,CA,2007,Equipment Use
DOG,20327.0,ID,2007,Lightning
RAINES,80628.66,ID,2007,Lightning
CEDAR KNOB,790.0,GA,2007,Miscellaneous
ZENA CREEK,95193.0,ID,2007,Lightning
EL CAPITAN WEST,4622.0,ID,2007,Lightning
PATSY ANNE,1200.0,ID,2007,Lightning
ELKHORN RIDGE,3147.0,ID,2007,Lightning
SOUTH SADDLE GULCH,608.0,ID,2007,Lightning
BIG POINT #2,661.0,AR,2007,Arson
HARRINGTON RIDGE,6233.0,ID,2007,Lightning
HARRINGTON MTN,510.0,ID,2007,Lightning
MAGRUDER MTN #1,4025.0,ID,2007,Lightning
BH,653.0,ID,2007,Lightning
GRIZZLY,3451.0,ID,2007,Lightning
BATTLE,4654.0,ID,2007,Lightning
FOX,604.0,ID,2007,Lightning
BIG POINT,1653.0,AR,2007,Arson
SHORTOFF,5015.0,NC,2007,Lightning
CLEAR SAGE,19941.0,ID,2007,Lightning
PAPOOSE,19520.0,ID,2007,Lightning
TIN CUP,587.0,MT,2007,Miscellaneous
EMBREEVILLE,570.0,TN,2007,Campfire
DUGGER MOUNTAIN,659.0,AL,2007,Arson
TANTROUGH,542.0,KY,2007,Arson
BONE CREEK,13450.0,WY,2007,Lightning
LITTLE GOOSE,4742.0,WY,2007,Lightning
WARM SPRINGS,23760.0,ID,2007,Lightning
DOMKE,11791.0,WA,2007,Lightning
RATTLESNAKE CREEK,1700.0,WA,2007,Lightning
WHISKEY,1070.0,WA,2007,Lightning
HORTON,1407.0,ID,2007,Lightning
MCCOY,700.0,WA,2007,Equipment Use
PIGEON BRANCH,2115.0,TN,2007,Lightning
SHOWERBATH,60009.0,ID,2007,Lightning
MERIWETHER,46298.0,MT,2007,Lightning
BOUNDARY JUNCTION,5100.0,ID,2007,Lightning
KINGS CREEK,580.0,UT,2007,Lightning
BLACK PINE 2,72361.0,ID,2007,Lightning
BALL POINT,1237.0,OR,2007,Lightning
EASY STREET,5209.0,WA,2007,Miscellaneous
LOON LAKE,120077.0,ID,2007,Lightning
VAN HORN,1650.0,ID,2007,Lightning
CHITTY,15000.0,AZ,2007,Lightning
BOLLI,730.0,CA,2007,Debris Burning
FRENCH CREEK WFU,3382.0,UT,2007,Lightning
CATHEDRAL,3847.0,NV,2007,Lightning
SKYLAND,44176.0,MT,2007,Lightning
TOAD,1390.0,UT,2007,Lightning
POTTS,1050.0,VA,2007,Miscellaneous
SILVER FIRE,31624.7,OR,2007,Lightning
GRAPPLE,1056.0,OR,2007,Lightning
GW,7357.0,OR,2007,Lightning
SQUAW,2800.0,AZ,2007,Lightning
BRIDGE,42694.0,ID,2007,Lightning
FELIX,875.0,MT,2007,Lightning
PATTENGAIL,15297.0,MT,2007,Lightning
POISON CREEK,1274.8,OR,2007,Lightning
EGLEY,55420.0,OR,2007,Lightning
HAIGLER,662.0,AZ,2007,Lightning
RAT CREEK,25877.0,MT,2007,Lightning
CONGER CREEK,25150.0,MT,2007,Lightning
OLD MAN,707.0,ID,2007,Lightning
SANTIAGO,28476.0,CA,2007,Miscellaneous
FLORIDA BUGABOO,123014.0,FL,2007,Lightning
SAWMILL,14233.0,MT,2007,Lightning
FISHER POINT,18222.0,MT,2007,Lightning
WYMAN #2,36045.0,MT,2007,Lightning
CHIMNEY COMPLEX,51000.0,ID,2007,Lightning
DUTCH WILDFIRE USE,3148.0,AZ,2007,Lightning
CASTLE ROCK,48000.0,ID,2007,Lightning
WILKINS,7762.0,AZ,2007,Lightning
GRANT,733.0,AZ,2007,Lightning
BUTLER 2,14039.0,CA,2007,Miscellaneous
GRASS VALLEY,1247.0,CA,2007,Miscellaneous
SLIDE,12759.0,CA,2007,Miscellaneous
RANCH,45300.0,CA,2007,Equipment Use
JUNE,682.0,CA,2007,Lightning
WALLOW,1440.0,CA,2007,Equipment Use
LAZY,599.0,CA,2007,Lightning
CANYON,1093.0,NM,2007,Lightning
WOODLAND,8000.0,NM,2007,Lightning
RAILROAD,556.0,NM,2007,Lightning
AUGUST,630.0,AZ,2007,Equipment Use
MUD LAKE,930.0,FL,2007,Lightning
PALACE,989.0,AZ,2007,Miscellaneous
WITCH,197990.0,CA,2007,Miscellaneous
HIGH FALLS,615.0,AL,2007,Lightning
