STATE,FIRE_YEAR,AVERAGE_FIRE_SIZE,average_days_to_control,average_hours_to_control,TOTAL_FIRE_SIZE,total_days_to_control,total_hours_to_control
GA,1999,6.564194648949389,2.2674418604651163,58.865,73111.9999999983,195.0,5062.39
GA,2000,6.02627168451984,0.030536529680365295,0.7643637236084453,63571.139999999796,321.0,7964.67
GA,2001,5.571981821980726,0.06331100879028882,1.5717632268203248,53335.00999999951,605.0,15002.48
GA,2002,21.385804715530526,0.022185175686073352,0.5790020523345305,166894.8200000002,173.0,4513.9
GA,2003,2.521869936501013,1.0606060606060606,29.466060606060605,11517.380000000127,35.0,972.38
GA,2004,4.33231573274266,1.4929577464788732,39.71802816901409,35208.7299599996,106.0,2819.9800000000005
GA,2005,3.2160671185320027,0.06976744186046512,4.823953488372093,19453.990000000085,3.0,207.43
GA,2006,4.248423530532169,1.4022988505747127,37.479885057471265,37917.18000999961,122.0,3260.75
GA,2007,37.56567742686686,3.5193798449612403,88.64496124031008,327460.01012999844,454.0,11435.2
GA,2008,4.458794554847585,1.2459016393442623,34.03409836065573,25892.219979999925,76.0,2076.08
GA,2009,4.260256221264372,0.30952380952380953,11.601904761904763,17790.829980000017,13.0,487.28000000000003
GA,2010,3.9816751787538096,0.42424242424242425,14.649375,23388.359999999877,14.0,468.78
GA,2011,52.045351794627116,0.09676652401331431,3.67831721008001,437909.5899999926,814.0,30798.549999999927
GA,2012,5.139345322287272,0.046694966646452396,2.5175559625559756,25434.619999999708,231.0,12371.270000000064
GA,2013,4.510255227552318,0.021558361564521098,1.7704965859714452,14667.350000000139,70.0,5704.539999999996
GA,2014,5.467848880137828,0.037466107961547944,2.2254374691052887,22215.869999999995,152.0,9004.119999999999
GA,2015,4.836475583864162,0.07547974413646055,3.233407534246571,11389.900000000103,177.0,7553.23999999999
HI,1992,144.9519480519481,9.0,218.26,11161.300000000005,288.0,6984.32
HI,1993,183.0,22.09090909090909,531.1027272727272,2562.0,243.0,5842.129999999999
HI,1994,8.733333333333333,50.285714285714285,1210.0285714285715,78.6,352.0,8470.2
HI,1995,102.75,34.0,817.70625,1027.5,272.0,6541.65
HI,1996,47.53750000000001,1.3333333333333333,34.18,380.30000000000007,8.0,205.07999999999998
HI,1997,4.333333333333334,19.25,463.1758333333333,52.00000000000001,231.0,5558.11
HI,1998,1218.2769230769231,0.5714285714285714,16.494285714285716,31675.2,4.0,115.46000000000001
HI,1999,1681.0555555555557,0.0,0.28,15129.5,0.0,0.56
HI,2000,436.12307692307695,2.2,56.965999999999994,5669.6,11.0,284.83
HI,2001,4.155742049469917,0.0,0.6425,2352.1499999999733,0.0,2.57
HI,2002,12.176562500000205,25.5,617.8675,7013.700000000118,306.0,7414.41
HI,2003,25.821041445270218,32.625,790.375,24297.599999999275,261.0,6323.0
HI,2004,5.678748180494856,2.5,66.525,3901.299999999966,5.0,133.05
HI,2005,36.73880837359115,1.25,31.9575,45629.60000000021,5.0,127.83
HI,2006,17.105386565272692,,,13496.150000000154,0.0,0.0
HI,2007,41.156794605809196,2.3333333333333335,60.93666666666667,39675.15000000007,14.0,365.62
HI,2008,7.96962288686609,1.0,26.5,6128.640000000023,5.0,132.5
HI,2009,14.463725490196143,17.0,410.5,11802.400000000052,17.0,410.5
HI,2010,15.460182926829436,0.8888888888888888,22.676666666666666,15212.820000000165,8.0,204.09
HI,2011,8.175091210613664,14.0,338.676,4929.580000000039,70.0,1693.3799999999999
HI,2012,6.985588235294255,4.0,102.06714285714285,4987.710000000098,28.0,714.47
HI,2013,12.690000000000001,0.25,10.331666666666667,761.4000000000001,2.0,61.99
HI,2014,0.1,0.0,0.75,0.2,0.0,1.5
HI,2015,1209.15,9.666666666666666,236.83333333333334,4836.6,29.0,710.5
IA,1992,17.06,0.0,0.63,85.3,0.0,0.63
IA,1993,5.116666666666667,0.0,1.115,30.700000000000003,0.0,6.6899999999999995
IA,1994,21.080000000000002,0.0,2.9125,105.4,0.0,11.65
IA,1995,9.566666666666666,0.0,1.7366666666666666,57.4,0.0,10.42
IA,1996,36.65714285714286,0.0,1.922142857142857,1026.4,0.0,53.81999999999999
IA,1997,9.3,0.0,1.0240000000000002,93.0,0.0,10.240000000000002
IA,1998,23.333333333333332,0.0,1.0166666666666668,70.0,0.0,3.0500000000000003
IA,1999,21.78,0.0,2.102105263157895,435.6,0.0,39.940000000000005
IA,2000,91.3,0.0,3.161578947368421,1734.7,0.0,60.07
IA,2001,8.5,0.0,1.1666666666666667,85.0,0.0,3.5
IA,2002,5.235294117647059,0.0,2.0280952380952377,267.0,0.0,42.589999999999996
IA,2003,66.66,0.21875,7.3384374999999995,3333.0,7.0,234.82999999999998
IA,2004,22.209999999999994,0.02702702702702703,2.7308108108108105,1110.4999999999998,1.0,101.03999999999999
IA,2005,191.23823529411766,0.0,1.2723529411764707,6502.1,0.0,21.630000000000003
IA,2006,12.151651583710409,0.0,1.2575,5371.030000000001,0.0,20.12
IA,2007,5.885055944055943,0.0,0.9566666666666667,841.5629999999999,0.0,2.87
IA,2008,11.18185430463576,0.0,0.8233333333333333,1688.4599999999998,0.0,4.9399999999999995
IA,2009,11.323293447293452,0.0,0.8904000000000001,7948.952000000003,0.0,22.26
