STATE,FIRE_YEAR,average_days_to_control,total_days_to_control
NH,2000,0.25,1.0
NH,2001,0.5294117647058824,9.0
NH,2002,0.6666666666666666,10.0
NH,2003,0.5,1.0
NH,2004,0.6666666666666666,2.0
NH,2005,0.0,0.0
NH,2006,0.25,1.0
NH,2007,2.5,10.0
NH,2008,7.0,7.0
NH,2009,0.0,0.0
NH,2010,0.3333333333333333,1.0
NH,2011,3.0,6.0
NH,2012,0.8,4.0
NH,2013,0.0,0.0
NH,2014,1.0,4.0
NH,2015,0.0,0.0
NJ,1992,0.0,0.0
NJ,1993,0.2222222222222222,2.0
NJ,1994,0.0,0.0
NJ,1995,0.0,0.0
NJ,1996,0.3333333333333333,1.0
NJ,1997,0.0,0.0
NJ,1998,0.0,0.0
NJ,1999,1.4444444444444444,13.0
NJ,2000,2.0,4.0
NJ,2001,0.42857142857142855,3.0
NJ,2002,0.0,0.0
NJ,2003,0.0,0.0
NJ,2004,0.0,0.0
NJ,2005,0.8,4.0
NJ,2006,0.4166666666666667,5.0
NJ,2007,2.090909090909091,23.0
NJ,2008,0.07692307692307693,1.0
NJ,2009,0.125,1.0
NJ,2010,3.5,28.0
NJ,2011,0.0,0.0
NJ,2012,5.999018645731108,6113.0
NJ,2013,5.663953488372092,4871.0
NJ,2014,8.2484237074401,6541.0
NJ,2015,5.849869451697128,4481.0
NM,1992,1.991812865497076,1703.0
NM,1993,1.860708534621578,2311.0
NM,1994,1.8615288220551376,2971.0
NM,1995,2.14959202175884,2371.0
NM,1996,1.93956043956044,2471.0
NM,1997,1.5608028335301063,1322.0
NM,1998,1.0472255017709564,887.0
NM,1999,0.5875232774674115,631.0
NM,2000,1.8003255561584373,3318.0
NM,2001,1.9355371900826448,2342.0
NM,2002,1.419250645994832,2197.0
NM,2003,2.652690426275332,3796.0
NM,2004,1.71960569550931,1570.0
NM,2005,2.9604672057502253,3295.0
NM,2006,1.2723609991941982,1579.0
NM,2007,3.429035752979415,3165.0
NM,2008,1.918632075471698,1627.0
NM,2009,1.90648988136776,2732.0
NM,2010,2.1276315789473683,1617.0
NM,2011,1.7263403263403263,3703.0
