STATE,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
NM,0.25,A,2006/7/3
AZ,0.25,A,2006/5/31
AZ,0.25,A,2006/6/6
CO,0.25,A,2006/6/4
CA,9.7,B,2006/6/29
CO,0.25,A,2006/6/19
CO,0.25,A,2006/6/27
CO,0.25,A,2006/7/3
CA,0.25,A,2006/7/8
CA,0.25,A,2006/6/26
CA,0.25,A,2006/6/27
MT,0.25,A,2006/7/6
MT,0.25,A,2006/7/7
ID,0.25,A,2006/7/10
ID,0.25,A,2006/6/25
AZ,0.25,A,2006/4/22
CA,0.25,A,2006/6/29
CA,0.25,A,2006/7/10
NM,0.25,A,2006/6/6
SD,0.25,A,2006/7/8
CA,0.25,A,2006/6/27
SD,0.25,A,2006/7/12
CA,0.25,A,2006/7/9
NM,0.25,A,2006/7/9
CA,0.25,A,2006/7/9
CA,0.25,A,2006/7/9
CA,0.25,A,2006/7/9
NV,0.25,A,2006/7/5
ID,0.25,A,2006/7/7
OR,0.25,A,2006/5/5
NM,0.25,A,2006/7/13
CA,0.25,A,2006/6/29
CA,0.25,A,2006/6/28
ID,0.25,A,2006/7/7
CA,0.25,A,2006/5/29
OR,0.25,A,2006/7/1
OR,0.25,A,2006/7/3
OR,0.25,A,2006/7/2
NM,0.25,A,2006/7/10
OR,0.25,A,2006/7/4
OR,0.25,A,2006/7/4
CA,0.25,A,2006/7/8
CA,0.25,A,2006/7/18
CA,0.25,A,2006/7/15
CA,0.25,A,2006/7/18
CA,0.25,A,2006/7/9
CA,0.25,A,2006/6/27
CA,0.25,A,2006/7/10
SD,0.25,A,2006/7/21
MT,0.25,A,2006/7/13
MT,0.25,A,2006/7/2
WA,0.25,A,2006/7/21
MT,0.25,A,2006/7/18
ID,0.25,A,2006/7/20
AR,0.25,A,2006/7/16
NV,0.25,A,2006/7/21
CA,0.25,A,2006/7/22
CA,0.25,A,2006/7/22
NM,0.25,A,2006/7/25
MT,0.25,A,2006/7/12
MT,0.25,A,2006/7/12
MT,0.25,A,2006/7/12
ID,0.25,A,2006/7/13
NV,0.25,A,2006/6/24
MT,0.25,A,2006/7/21
NV,0.25,A,2006/7/5
NV,0.25,A,2006/7/7
CA,0.25,A,2006/7/21
UT,0.25,A,2006/7/3
NV,0.25,A,2006/7/21
NM,0.25,A,2006/7/22
AZ,0.25,A,2006/7/21
AZ,0.25,A,2006/7/21
AZ,0.25,A,2006/7/22
AZ,0.25,A,2006/7/25
OR,0.25,A,2006/7/7
OR,0.25,A,2006/7/9
CA,0.25,A,2006/6/24
CA,0.25,A,2006/7/4
MT,0.25,A,2006/7/29
MT,0.25,A,2006/8/1
SD,0.25,A,2006/7/18
CA,0.25,A,2006/7/28
AZ,0.25,A,2006/5/17
AZ,299,D,2006/7/22
ID,0.25,A,2006/7/30
ID,0.25,A,2006/8/2
AZ,0.25,A,2006/6/29
CA,0.25,A,2006/7/23
CA,0.25,A,2006/7/22
ID,0.25,A,2006/7/11
AZ,0.25,A,2006/7/22
ID,0.25,A,2006/7/7
MT,0.25,A,2006/7/24
CO,0.25,A,2006/7/23
OR,0.25,A,2006/7/10
CA,0.25,A,2006/7/29
CA,0.25,A,2006/6/28
CA,0.25,A,2006/7/26
OR,0.25,A,2006/7/23
WY,0.25,A,2006/7/28
CA,0.25,A,2006/7/27
SC,0.25,A,2006/7/21
AZ,0.25,A,2006/5/29
CA,0.25,A,2006/8/6
CA,0.25,A,2006/8/5
NM,0.25,A,2006/6/24
WY,0.25,A,2006/8/9
CA,0.25,A,2006/6/28
CA,0.25,A,2006/7/15
OR,0.25,A,2006/7/1
OR,0.25,A,2006/7/20
CA,0.25,A,2006/7/24
AZ,0.25,A,2006/7/16
OR,0.25,A,2006/7/23
MI,0.25,A,2006/7/21
OR,0.25,A,2006/7/23
CA,0.25,A,2006/7/21
CA,0.25,A,2006/8/7
OR,0.25,A,2006/7/23
CA,0.25,A,2006/8/8
CO,0.25,A,2006/6/30
CA,0.25,A,2006/7/24
OR,0.25,A,2006/8/7
MT,0.25,A,2006/8/6
MT,0.25,A,2006/8/9
SD,0.25,A,2006/7/22
MT,0.25,A,2006/8/10
MT,0.25,A,2006/8/11
MT,0.25,A,2006/8/11
MT,0.25,A,2006/8/11
SD,0.25,A,2006/6/26
ID,0.25,A,2006/8/11
MT,0.25,A,2006/8/12
MT,0.25,A,2006/8/12
MT,0.25,A,2006/8/13
ID,0.25,A,2006/7/4
CA,0.25,A,2006/8/5
CO,0.25,A,2006/6/22
CA,0.25,A,2006/5/2
MT,0.25,A,2006/8/13
NM,0.25,A,2006/7/20
NM,0.25,A,2006/7/27
CA,0.25,A,2006/7/7
OR,0.25,A,2006/7/10
OR,0.25,A,2006/7/1
OR,0.25,A,2006/7/18
OR,0.25,A,2006/8/8
OR,0.25,A,2006/8/8
NC,0.25,A,2006/4/8
MT,0.25,A,2006/8/14
CA,0.25,A,2006/6/14
NV,0.25,A,2006/8/3
CA,0.25,A,2006/8/12
CA,0.25,A,2006/7/18
CA,0.25,A,2006/5/16
CA,0.25,A,2006/6/29
AZ,0.25,A,2006/7/16
AZ,0.25,A,2006/7/16
AR,0.25,A,2006/8/11
MT,0.25,A,2006/8/16
SD,0.25,A,2006/8/10
MT,0.25,A,2006/8/17
MT,0.25,A,2006/8/18
MT,0.25,A,2006/8/18
MT,0.25,A,2006/8/19
MT,0.25,A,2006/8/19
CA,0.25,A,2006/7/25
CA,0.25,A,2006/7/7
AZ,0.25,A,2006/6/10
CA,0.25,A,2006/8/7
CA,0.25,A,2006/7/24
CA,0.25,A,2006/7/24
CA,0.25,A,2006/8/8
CA,0.25,A,2006/8/10
CA,0.25,A,2006/8/6
MT,0.25,A,2006/8/10
NC,0.25,A,2006/3/30
WY,0.25,A,2006/8/16
ID,0.25,A,2006/8/8
ID,0.25,A,2006/8/11
NM,0.25,A,2006/7/23
ID,0.25,A,2006/8/9
CA,0.25,A,2006/8/7
MT,0.25,A,2006/7/23
NM,0.25,A,2006/7/24
AZ,0.25,A,2006/6/15
CA,0.25,A,2006/8/12
MT,0.25,A,2006/7/3
OR,0.25,A,2006/5/6
AZ,0.25,A,2006/7/7
AZ,0.25,A,2006/7/17
OR,0.25,A,2006/7/11
AZ,0.25,A,2006/7/23
AZ,0.25,A,2006/7/6
AZ,0.25,A,2006/7/26
OR,0.25,A,2006/8/7
UT,99,C,2006/6/12
UT,0.25,A,2006/7/23
UT,0.25,A,2006/7/23
UT,0.25,A,2006/8/17
AR,0.25,A,2006/8/22
ID,0.25,A,2006/8/14
MT,0.25,A,2006/8/26
NM,0.25,A,2006/8/2
OR,0.25,A,2006/8/9
ID,0.25,A,2006/8/20
CA,0.25,A,2006/6/14
WA,0.25,A,2006/7/3
NM,0.25,A,2006/6/25
AZ,0.25,A,2006/8/14
MT,0.25,A,2006/8/28
WA,0.25,A,2006/7/31
CA,0.25,A,2006/2/12
CA,0.25,A,2006/7/23
CA,0.25,A,2006/7/23
CA,0.25,A,2006/7/24
OR,0.25,A,2006/8/11
AR,0.25,A,2006/8/21
CA,0.25,A,2006/8/23
CA,0.25,A,2006/7/8
SD,0.25,A,2006/8/19
OR,0.25,A,2006/8/10
ID,0.25,A,2006/8/5
ID,0.25,A,2006/8/17
ID,0.25,A,2006/7/10
ID,0.25,A,2006/5/11
ID,0.25,A,2006/8/16
ID,0.25,A,2006/5/18
ID,0.25,A,2006/8/10
ID,0.25,A,2006/8/9
MS,0.25,A,2006/4/18
MS,0.25,A,2006/4/24
ID,0.25,A,2006/8/9
ID,0.25,A,2006/8/7
MT,0.25,A,2006/9/4
OR,0.25,A,2006/8/7
OR,0.25,A,2006/8/8
ID,0.25,A,2006/8/22
ID,0.25,A,2006/8/7
ID,0.25,A,2006/8/7
NM,0.25,A,2006/7/26
ID,0.25,A,2006/8/9
ID,0.25,A,2006/8/10
ID,0.25,A,2006/8/10
MT,0.25,A,2006/9/6
NM,0.25,A,2006/6/26
WY,0.25,A,2006/9/3
MS,0.25,A,2006/5/16
ID,0.25,A,2006/7/23
OR,0.25,A,2006/8/22
CO,0.25,A,2006/6/24
CA,0.25,A,2006/2/14
ID,0.25,A,2006/8/23
AZ,0.25,A,2006/8/18
MT,0.25,A,2006/9/7
NM,0.25,A,2006/6/26
CA,0.25,A,2006/6/29
MT,0.25,A,2006/8/17
MT,0.25,A,2006/8/9
MT,0.25,A,2006/6/5
MT,0.25,A,2006/9/8
OR,0.25,A,2006/8/13
AZ,0.25,A,2006/7/13
NM,0.25,A,2006/6/29
CA,0.25,A,2006/8/9
AR,0.25,A,2006/1/2
AR,0.25,A,2006/1/2
ID,0.25,A,2006/9/2
MT,0.25,A,2006/8/21
AZ,0.25,A,2006/8/22
OR,0.25,A,2006/8/20
AZ,0.25,A,2006/7/22
OR,0.25,A,2006/9/12
ID,0.25,A,2006/8/11
ID,0.25,A,2006/7/5
ID,0.25,A,2006/7/7
ID,0.25,A,2006/8/16
ID,0.25,A,2006/8/8
OR,0.25,A,2006/9/4
ID,0.25,A,2006/8/11
CA,0.25,A,2006/6/25
CA,0.25,A,2006/6/9
MT,0.25,A,2006/8/8
OR,0.25,A,2006/8/9
NM,0.25,A,2006/9/6
WA,0.25,A,2006/8/22
OR,0.25,A,2006/8/23
OR,0.25,A,2006/9/2
AR,0.25,A,2006/2/28
ID,0.25,A,2006/8/16
CA,0.25,A,2006/8/22
ID,0.25,A,2006/8/28
MT,0.25,A,2006/8/8
ID,0.25,A,2006/8/16
OR,0.25,A,2006/9/4
OR,0.25,A,2006/9/4
OR,0.25,A,2006/9/4
MT,0.25,A,2006/9/11
MT,0.25,A,2006/9/7
